43069,31779
1150,43285
30572,31310
1125,2425
31512,35309
1125,1146
2425,37058
1160,36610
4270,5310
972,31507,43058
3631,1309
34292,30575
3631,43039
30813,43316
43251,43307
1230,1238
2665,35452
43200,30549
1238,1250
1146,30575
1146,43065
1242,31719
43118,43220
1232,41938
43064,43307
36711,43197
1212,35651
1160,4270
972,37577
43067,30572
1160,1309
1146,36610
35571,37058
1212,1230,43065
1125,1284
1160,323
3631,36598
36610,31512
1250,48417
34865,43246
1687,30532
1232,3402
1064,303
1212,31423
2665,35651
1242,9217
34215,43206
43067,4245
35439,43200
1309,41938
34212,44371
1232,1238
1146,43316
972,1278
3631,303
3631,40217
1238,5380
43200,43064
43069,43147
43316,31278
45407,43202
1230,31507
34206,43000
36598,43215
43202,43067
48417,32302
46772,972
43118,43201
30532,72
1109,31690
3631,43069
34206,43200
31298,34226
1150,43058
35651,48417
36610,43285
34089,35305
43197,43198
972,3270
1129,328
1309,37058
32323,35711,43118,43147,43159
31170,31309
31847,5621
1309,4280
30532,36298
1125,36610
1240,1278
1182,1309
1309,47840
34054,43202
32311,30549,30555,40930
4767,9217
1212,35651,35309
2425,36301
36823,37361
3631,3718
32311,43251
972,34053
1309,37058
1064,1278
1150,1242,1284,5354,5380
1238,4280
44829,43186,43196
3144,43040
4910,1238,1284
2233,3270
30532,31512
1109,1242
1220,31423,35651
43064,43285
1232,1240
1109,35141
1212,30572,43069
43065,43316
35571,32937
43274,31507,31514
48077,35144
1125,1169,2233
2425,44102
1150,43285
1109,1216,37058,43274
35453,36537
1160,47840
43201,43202
1284,1309
1109,1129
43197,43251
1242,1278
1250,31298
43215,30575
35144,36745,37058
31309,35130
30575,43274
43058,43307
36711,43305
4280,30215,33734
31310,43058
3144,33196
2233,35651
35727,1284
1146,1309
43285,4270
35305,35309
1160,43285
1216,30552
35651,37057,42869
1232,1278
31393,41843,35132
1232,1238
35305,43064
1146,30532
43169,37058
43118,43199
1146,1182
1220,40217,37361
2233,1250
1278,2233
1109,1232
1250,31719
1150,46772
43197,43251
1182,49028
30575,43285
30554,37057
1160,32819
1284,36610
1160,1240
34264,45112
1230,5000
1144,1216
1238,30532,31507
1109,1278
31498,49028
35148,43190
1109,43058
1150,972,1220,31507
3144,41938
43147,43285
1232,5000
1220,31720
1109,972
1232,1238,1250
1284,4280
46772,48077,31423
43033,37058
31512,35711
972,43069
33871,35309
632,1145
1212,1220,1230
2425,4280
30572,43084
34215,3718
43200,43207,43220
43207,43210
1146,35651
31307,31309,31506,32845,32860
1064,43069
35651,40886
1109,1284
1309,41938
1182,4245,30532
40930,37058
31298,41938
1309,5380
43058,43069
1284,30572
3270,41938
1220,35452
972,1250
37058,40930
4910,1240
1125,43274
3144,41938
1146,31471
1242,2425
43066,30214
1284,3270
1240,43069
3270,4259
41938,30549,32302
2233,1240
43065,43202
1160,972
43209,31471
1284,31514
1278,30532
1309,31514
32311,43197,43307,35309
1240,1284
43083,43169
1232,47840,43068
1240,41938
4270,43066
1129,106
35841,31717
43196,43203
2233,1064
1250,4259
1242,35453
1182,1230
1150,1160
32863,31309
1687,34053
43187,37058
2233,30572
1109,30572
1125,1232
41938,40886
1109,1238
1212,9217
1064,32934
48421,43285
1125,1160
2233,43069
34213,34215
1146,43064
1220,31512
72,35309
1125,4767
1160,4270
34866,43062
30568,9217
1242,30575
1242,2425
1212,43285
1150,32934
41938,31719
1220,1278
972,36773
30572,43069
1129,2233
35651,43285
1687,31298
1146,41938
1064,1278
31423,3609,31298
32302,30555
5707,48077
1212,1230
43169,43209
